# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Thu Nov  9 07:29:35 2023
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2 He CH4 H2O CO2 CO Rayleigh CIA
6.013319637e-01 9.38031e-01 9.99999e-01 9.99999e-01 9.99476e-01 9.97641e-01 9.99999e-01 9.99999e-01 9.40741e-01 9.99999e-01
6.043386235e-01 9.41282e-01 9.99993e-01 9.99999e-01 9.99732e-01 9.99641e-01 9.99999e-01 9.99999e-01 9.41877e-01 9.99999e-01
6.073603167e-01 9.42313e-01 9.99997e-01 9.99999e-01 9.99376e-01 9.99904e-01 9.99999e-01 9.99999e-01 9.42992e-01 9.99999e-01
6.103971182e-01 9.42818e-01 9.99999e-01 9.99999e-01 9.98676e-01 9.99979e-01 9.99999e-01 9.99999e-01 9.44085e-01 9.99999e-01
6.134491038e-01 9.40640e-01 9.99998e-01 9.99999e-01 9.95224e-01 9.99994e-01 9.99999e-01 9.99999e-01 9.45159e-01 9.99999e-01
6.165163494e-01 9.34659e-01 9.99998e-01 9.99999e-01 9.87796e-01 9.99992e-01 9.99999e-01 9.99999e-01 9.46213e-01 9.99998e-01
6.195989311e-01 9.29127e-01 9.99999e-01 9.99999e-01 9.80895e-01 9.99975e-01 9.99999e-01 9.99999e-01 9.47246e-01 9.99998e-01
6.226969258e-01 9.39186e-01 9.99999e-01 9.99999e-01 9.90488e-01 9.99940e-01 9.99999e-01 9.99999e-01 9.48261e-01 9.99998e-01
6.258104104e-01 9.46181e-01 9.99994e-01 9.99999e-01 9.97768e-01 9.98994e-01 9.99999e-01 9.99999e-01 9.49257e-01 9.99997e-01
6.289394624e-01 9.45248e-01 9.99996e-01 9.99999e-01 9.99506e-01 9.95247e-01 9.99999e-01 9.99999e-01 9.50234e-01 9.99997e-01
6.320841597e-01 9.47572e-01 9.99992e-01 9.99999e-01 9.99880e-01 9.96319e-01 9.99999e-01 9.99999e-01 9.51192e-01 9.99996e-01
6.352445805e-01 9.49767e-01 9.99998e-01 9.99999e-01 9.99880e-01 9.97637e-01 9.99999e-01 9.99999e-01 9.52133e-01 9.99996e-01
6.384208035e-01 9.51338e-01 9.99951e-01 9.99999e-01 9.99688e-01 9.98553e-01 9.99999e-01 9.99999e-01 9.53056e-01 9.99996e-01
6.416129075e-01 9.51755e-01 9.99999e-01 9.99999e-01 9.99269e-01 9.98418e-01 9.99999e-01 9.99999e-01 9.53961e-01 9.99997e-01
6.448209720e-01 9.49832e-01 9.99986e-01 9.99999e-01 9.99318e-01 9.95435e-01 9.99999e-01 9.99999e-01 9.54850e-01 9.99996e-01
6.480450769e-01 9.30677e-01 9.99999e-01 9.99999e-01 9.99239e-01 9.74540e-01 9.99999e-01 9.99999e-01 9.55722e-01 9.99994e-01
6.512853022e-01 9.36606e-01 9.99999e-01 9.99999e-01 9.98856e-01 9.80248e-01 9.99999e-01 9.99999e-01 9.56577e-01 9.99992e-01
6.545417288e-01 9.40923e-01 9.99999e-01 9.99999e-01 9.98224e-01 9.84529e-01 9.99999e-01 9.99999e-01 9.57416e-01 9.99991e-01
6.578144374e-01 9.47275e-01 9.99988e-01 9.99999e-01 9.97524e-01 9.91021e-01 9.99999e-01 9.99999e-01 9.58239e-01 9.99993e-01
6.611035096e-01 9.54387e-01 9.99997e-01 9.99999e-01 9.97042e-01 9.98095e-01 9.99999e-01 9.99999e-01 9.59047e-01 9.99996e-01
6.644090271e-01 9.53560e-01 9.99999e-01 9.99999e-01 9.94403e-01 9.99048e-01 9.99999e-01 9.99999e-01 9.59839e-01 9.99998e-01
6.677310723e-01 9.55655e-01 9.99999e-01 9.99999e-01 9.95105e-01 9.99727e-01 9.99999e-01 9.99999e-01 9.60617e-01 9.99999e-01
6.710697276e-01 9.58637e-01 9.99998e-01 9.99999e-01 9.97199e-01 9.99948e-01 9.99999e-01 9.99999e-01 9.61380e-01 9.99999e-01
6.744250763e-01 9.61394e-01 9.99999e-01 9.99999e-01 9.99274e-01 9.99962e-01 9.99999e-01 9.99999e-01 9.62128e-01 9.99999e-01
6.777972017e-01 9.62584e-01 9.99999e-01 9.99999e-01 9.99821e-01 9.99888e-01 9.99999e-01 9.99999e-01 9.62862e-01 9.99999e-01
