# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Jul 19 13:12:01 2023
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total N2 O2 CO2 CH4 CO O3 N2O H2O Rayleigh CIA
1.000000000e-01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.51318e-13 9.37419e-47 1.30246e-70 0.00000e+00 1.29954e-35 9.99999e-01
1.010000000e-01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 4.83336e-14 1.73760e-47 7.34497e-72 0.00000e+00 2.98565e-34 9.99999e-01
1.020000000e-01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 9.29552e-15 3.22082e-48 4.14204e-73 0.00000e+00 5.89570e-33 9.99999e-01
1.030000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.78772e-15 5.97013e-49 2.33582e-74 0.00000e+00 1.00938e-31 9.99999e-01
1.040000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 3.64702e-16 1.10662e-49 7.53593e-77 0.00000e+00 1.51051e-30 9.99999e-01
1.050000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 7.44008e-17 2.05124e-50 1.76920e-79 0.00000e+00 1.99081e-29 9.99999e-01
1.060000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.51781e-17 3.80218e-51 4.15352e-82 0.00000e+00 2.32731e-28 9.99999e-01
1.070000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 3.09640e-18 7.04774e-52 9.75115e-85 0.00000e+00 2.42928e-27 9.99999e-01
1.080000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 6.31679e-19 1.30637e-52 4.73562e-84 0.00000e+00 2.27822e-26 9.99999e-01
1.090000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.16918e-16 1.15282e-53 2.16381e-78 0.00000e+00 1.93077e-25 9.99999e-01
1.100000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 2.16403e-14 4.84324e-55 9.88692e-73 0.00000e+00 1.48679e-24 9.99999e-01
1.110000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 4.00542e-12 1.61554e-71 4.51755e-67 0.00000e+00 1.04562e-23 9.99999e-01
1.120000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 7.41365e-10 2.83926e-72 2.06417e-61 0.00000e+00 6.74813e-23 9.99999e-01
1.130000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.37220e-07 1.14240e-70 3.03020e-73 0.00000e+00 4.01453e-22 9.99999e-01
1.140000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.98071e-06 4.24266e-53 1.52488e-63 0.00000e+00 2.21087e-21 9.99999e-01
1.150000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 2.85908e-05 4.01937e-36 1.01219e-48 0.00000e+00 1.13161e-20 9.99999e-01
1.160000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 4.12698e-04 7.10656e-32 1.18309e-33 0.00000e+00 5.40328e-20 9.99999e-01
1.170000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 5.95714e-03 3.63627e-47 3.60763e-34 0.00000e+00 2.41531e-19 9.99999e-01
1.180000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 3.17240e-153 0.00000e+00 8.59891e-02 1.33964e-46 6.52582e-139 0.00000e+00 1.01410e-18 9.99999e-01
1.190000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 6.76682e-55 0.00000e+00 5.25208e-02 4.65214e-59 1.57359e-15 0.00000e+00 4.01179e-18 9.99999e-01
1.200000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.07429e-90 0.00000e+00 3.20789e-02 2.24378e-87 4.54002e-09 0.00000e+00 1.49975e-17 9.99999e-01
1.210000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 1.04013e-156 0.00000e+00 1.95933e-02 1.06285e-130 3.61528e-08 0.00000e+00 5.31283e-17 9.99999e-01
1.220000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 5.15997e-251 0.00000e+00 1.19673e-02 2.34704e-158 4.98152e-09 0.00000e+00 1.78812e-16 9.99999e-01
1.230000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 7.30944e-03 1.45127e-124 8.93623e-15 0.00000e+00 5.73195e-16 9.99999e-01
1.240000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 4.46449e-03 1.04743e-63 7.54894e-36 0.00000e+00 1.75410e-15 9.99999e-01
1.250000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.60049e-03 3.11654e-41 1.46149e-73 0.00000e+00 5.13581e-15 9.99999e-01
1.260000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 5.73767e-04 3.15426e-31 9.58039e-136 0.00000e+00 1.44168e-14 9.99999e-01
1.270000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 2.05692e-04 4.91143e-28 1.40017e-208 0.00000e+00 3.88765e-14 9.99999e-01
1.280000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 7.37393e-05 8.15175e-31 7.02844e-261 0.00000e+00 1.00896e-13 9.99999e-01
1.290000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 2.64351e-05 2.09407e-36 4.85878e-260 0.00000e+00 2.52460e-13 9.99999e-01
1.300000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 9.47681e-06 2.07289e-58 2.53315e-212 0.00000e+00 6.10054e-13 9.99999e-01
1.310000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 3.39738e-06 9.13726e-76 3.27418e-150 0.00000e+00 1.42589e-12 9.99999e-01
1.320000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 6.69759e-07 3.11330e-78 4.94848e-98 0.00000e+00 3.22845e-12 9.99999e-01
1.330000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.32036e-07 1.82732e-77 4.95961e-60 0.00000e+00 7.09104e-12 9.99999e-01
1.340000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 2.60296e-08 8.26635e-87 2.22702e-30 0.00000e+00 1.51292e-11 9.99999e-01
1.350000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 5.13148e-09 1.03351e-81 3.14875e-14 0.00000e+00 3.13957e-11 9.99999e-01
1.360000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.01162e-09 6.48929e-71 4.41893e-06 0.00000e+00 6.34448e-11 9.99999e-01
1.370000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.99430e-10 4.50060e-48 7.21317e-03 0.00000e+00 1.24995e-10 9.99999e-01
1.380000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 3.93157e-11 2.43228e-34 8.80019e-03 0.00000e+00 2.40344e-10 9.99999e-01
1.390000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 2.14130e-11 7.45408e-35 5.11006e-03 0.00000e+00 4.51514e-10 9.99999e-01
1.400000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.16625e-11 2.28441e-35 6.37475e-04 0.00000e+00 8.29532e-10 9.99999e-01
1.410000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 6.35189e-12 7.00090e-36 8.70955e-07 0.00000e+00 1.49186e-09 9.99999e-01
1.420000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 3.45951e-12 5.98165e-36 6.76738e-11 0.00000e+00 2.62870e-09 9.99999e-01
1.430000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.88420e-12 3.08769e-34 1.18442e-14 0.00000e+00 4.54195e-09 9.99999e-01
1.440000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.02622e-12 1.31665e-32 9.98877e-20 0.00000e+00 7.70163e-09 9.99999e-01
1.450000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 4.73078e-298 5.58922e-13 1.90154e-31 1.53401e-21 0.00000e+00 1.28261e-08 9.99999e-01
1.460000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 4.08404e-95 3.04413e-13 3.02591e-30 1.30703e-15 0.00000e+00 2.09943e-08 9.99999e-01
1.470000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 8.08668e-33 2.27468e-12 3.03934e-28 1.67431e-16 0.00000e+00 3.37988e-08 9.99999e-01
1.480000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 4.14209e-11 1.69971e-11 3.05282e-26 1.50478e-12 0.00000e+00 5.35533e-08 9.99999e-01
1.490000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 6.17699e-04 1.27008e-10 2.83044e-24 7.74117e-09 0.00000e+00 8.35661e-08 9.99999e-01
1.500000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 6.60904e-02 9.49048e-10 2.60102e-22 2.70524e-05 0.00000e+00 1.28498e-07 9.99999e-01
1.510000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 3.02594e-01 7.09160e-09 2.08296e-20 2.15384e-03 0.00000e+00 1.94822e-07 9.99999e-01
1.520000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 6.13232e-01 5.29908e-08 1.54897e-18 1.13462e-02 0.00000e+00 2.91401e-07 9.99999e-01
1.530000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 9.99999e-01 3.95965e-07 1.07300e-16 3.24809e-02 0.00000e+00 4.30215e-07 9.99999e-01
1.540000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 9.99999e-01 2.95878e-06 6.51552e-15 2.96625e-01 0.00000e+00 6.27250e-07 9.99999e-01
1.550000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 9.99999e-01 9.99999e-01 3.95637e-13 3.95155e-01 0.00000e+00 9.03576e-07 9.99999e-01
1.560000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 9.99999e-01 9.99999e-01 7.79423e-12 5.12977e-01 0.00000e+00 1.28664e-06 9.99999e-01
1.570000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 9.99999e-01 9.99999e-01 1.53550e-10 7.01734e-01 0.00000e+00 1.81178e-06 9.99999e-01
1.580000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 9.99999e-01 9.99999e-01 1.96793e-09 6.70508e-01 0.00000e+00 2.52404e-06 9.99999e-01
1.590000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 9.99999e-01 9.99999e-01 1.77421e-08 8.00862e-01 0.00000e+00 3.48017e-06 9.99999e-01
1.600000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 9.99999e-01 9.99999e-01 1.59955e-07 7.66072e-01 0.00000e+00 4.75102e-06 9.99999e-01
1.610000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 9.99999e-01 9.99999e-01 4.89483e-07 7.77841e-01 0.00000e+00 6.42411e-06 9.99999e-01
1.620000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 9.99999e-01 9.99999e-01 1.49788e-06 7.52233e-01 0.00000e+00 8.60663e-06 9.99999e-01
1.630000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 9.99999e-01 9.99999e-01 3.63122e-06 7.20510e-01 0.00000e+00 1.14286e-05 9.99999e-01
1.640000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 1.57930e-270 9.99999e-01 9.99999e-01 6.20695e-06 7.09138e-01 0.00000e+00 1.50464e-05 9.99999e-01
1.650000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 4.68519e-209 9.99999e-01 9.99999e-01 1.06097e-05 6.72289e-01 0.00000e+00 1.96464e-05 9.99999e-01
1.660000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 1.39475e-184 9.99999e-01 9.99999e-01 1.47630e-05 6.44791e-01 0.00000e+00 2.54494e-05 9.99999e-01
1.670000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 1.10304e-132 9.99999e-01 9.99999e-01 1.88084e-05 6.27503e-01 0.00000e+00 3.27142e-05 9.99999e-01
1.680000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 5.80551e-106 9.99999e-01 9.99999e-01 2.39622e-05 5.98059e-01 0.00000e+00 4.17426e-05 9.99999e-01
1.690000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 5.53734e-89 9.99999e-01 9.99999e-01 2.42482e-05 5.76265e-01 0.00000e+00 5.28832e-05 9.99999e-01
1.700000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 2.32376e-64 9.99999e-01 9.99999e-01 2.39177e-05 5.58773e-01 0.00000e+00 6.65367e-05 9.99999e-01
