# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Thu Jul 20 10:20:22 2023
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total N2 CO2 CH4 CO HCN Rayleigh CIA
1.410000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 9.99999e-01 1.31036e-10 9.99999e-01
1.420000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 9.99999e-01 2.47085e-10 9.99999e-01
1.430000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 9.99999e-01 4.55798e-10 9.99999e-01
1.440000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 9.99999e-01 8.23305e-10 9.99999e-01
1.450000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 1.48686e-289 0.00000e+00 9.99999e-01 1.45742e-09 9.99999e-01
1.460000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 2.03543e-92 0.00000e+00 9.99999e-01 2.53048e-09 9.99999e-01
1.470000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 6.68256e-32 0.00000e+00 9.99999e-01 4.31274e-09 9.99999e-01
1.480000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 8.20261e-11 0.00000e+00 9.99999e-01 7.22037e-09 9.99999e-01
1.490000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 7.62946e-04 0.00000e+00 9.99999e-01 1.18831e-08 9.99999e-01
1.500000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 7.14262e-02 0.00000e+00 9.99999e-01 1.92381e-08 9.99999e-01
1.510000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 3.13110e-01 0.00000e+00 9.99999e-01 3.06573e-08 9.99999e-01
1.520000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 6.21862e-01 0.00000e+00 9.99999e-01 4.81187e-08 9.99999e-01
1.530000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 7.44318e-08 9.99999e-01
1.540000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 1.13530e-07 9.99999e-01
1.550000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 1.70847e-07 9.99999e-01
1.560000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 2.53787e-07 9.99999e-01
1.570000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 3.72315e-07 9.99999e-01
1.580000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 5.39676e-07 9.99999e-01
1.590000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 7.73275e-07 9.99999e-01
1.600000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 1.09572e-06 9.99999e-01
1.610000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 1.53606e-06 9.99999e-01
1.620000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 2.13122e-06 9.99999e-01
1.630000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 2.92771e-06 9.99999e-01
1.640000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 3.98347e-06 9.99999e-01
1.650000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 5.37006e-06 9.99999e-01
1.660000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 7.17504e-06 9.99999e-01
1.670000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 9.50465e-06 9.99999e-01
1.680000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 1.24866e-05 9.99999e-01
1.690000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 1.62735e-05 9.99999e-01
1.700000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 2.10456e-05 9.99999e-01
1.710000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 2.70150e-05 9.99999e-01
1.720000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 3.44289e-05 9.99999e-01
1.730000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 4.35737e-05 9.99999e-01
1.740000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 5.47787e-05 9.99999e-01
1.750000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 6.84200e-05 9.99999e-01
1.760000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 8.49247e-05 9.99999e-01
1.770000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 1.04775e-04 9.99999e-01
1.780000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 1.28510e-04 9.99999e-01
1.790000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 1.56734e-04 9.99999e-01
1.800000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 1.90114e-04 9.99999e-01
1.810000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 2.29386e-04 9.99999e-01
1.820000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 2.75357e-04 9.99999e-01
1.830000000e-01 5.65247e-252 9.99999e-01 1.71854e-248 9.99999e-01 9.99999e-01 9.99999e-01 3.28911e-04 9.99999e-01
1.840000000e-01 7.74905e-222 9.99999e-01 1.98184e-218 9.99999e-01 9.99999e-01 9.99999e-01 3.91002e-04 9.99999e-01
1.850000000e-01 2.40614e-142 9.99999e-01 5.20062e-139 9.99999e-01 9.99999e-01 9.99999e-01 4.62664e-04 9.99999e-01
1.860000000e-01 6.65878e-109 9.99999e-01 1.22177e-105 9.99999e-01 9.99999e-01 9.99999e-01 5.45010e-04 9.99999e-01
1.870000000e-01 1.02836e-75 9.99999e-01 1.60875e-72 9.99999e-01 9.99999e-01 9.99999e-01 6.39228e-04 9.99999e-01
1.880000000e-01 8.42968e-63 9.99999e-01 1.12909e-59 9.99999e-01 9.99999e-01 9.99999e-01 7.46587e-04 9.99999e-01
1.890000000e-01 1.48656e-43 9.99999e-01 1.71178e-40 9.99999e-01 9.99999e-01 9.99999e-01 8.68430e-04 9.99999e-01
1.900000000e-01 4.67521e-35 9.99999e-01 4.64649e-32 9.99999e-01 9.99999e-01 9.99999e-01 1.00618e-03 9.99999e-01
1.910000000e-01 1.39845e-22 9.99999e-01 1.20418e-19 9.99999e-01 9.99999e-01 9.99999e-01 1.16133e-03 9.99999e-01
1.920000000e-01 6.55003e-19 9.99999e-01 4.90475e-16 9.99999e-01 9.99999e-01 9.99999e-01 1.33545e-03 9.99999e-01
1.930000000e-01 1.91409e-05 9.99999e-01 1.25091e-02 9.99999e-01 9.99999e-01 9.99999e-01 1.53016e-03 9.99999e-01
1.940000000e-01 1.74718e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.74718e-03 9.99999e-01
1.950000000e-01 1.98825e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.98825e-03 9.99999e-01
1.960000000e-01 2.25519e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 2.25519e-03 9.99999e-01
1.970000000e-01 2.54987e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 2.54987e-03 9.99999e-01
1.980000000e-01 2.87419e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 2.87419e-03 9.99999e-01
1.990000000e-01 3.23011e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.23011e-03 9.99999e-01
2.000000000e-01 3.61960e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 3.61960e-03 9.99999e-01
2.010000000e-01 4.04467e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 4.04467e-03 9.99999e-01
2.020000000e-01 4.50734e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 4.50734e-03 9.99999e-01
