# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Thu Jul 20 10:04:53 2023
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total N2 O2 CO2 CH4 CO O3 N2O H2O Rayleigh CIA
1.000000000e-01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.61212e-13 1.07943e-46 1.61354e-70 0.00000e+00 4.52123e-35 9.99999e-01
1.010000000e-01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 5.03467e-14 2.00533e-47 9.13411e-72 0.00000e+00 9.89410e-34 9.99999e-01
1.020000000e-01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 9.70397e-15 3.72543e-48 5.17074e-73 0.00000e+00 1.86537e-32 9.99999e-01
1.030000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.87037e-15 6.92098e-49 2.92711e-74 0.00000e+00 3.05591e-31 9.99999e-01
1.040000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 3.82372e-16 1.28576e-49 9.51597e-77 0.00000e+00 4.38499e-30 9.99999e-01
1.050000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 7.81707e-17 2.38863e-50 2.25212e-79 0.00000e+00 5.55257e-29 9.99999e-01
1.060000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.59809e-17 4.43752e-51 5.33005e-82 0.00000e+00 6.24807e-28 9.99999e-01
1.070000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 3.26709e-18 8.24386e-52 1.26145e-84 0.00000e+00 6.28868e-27 9.99999e-01
1.080000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 6.67912e-19 1.53152e-52 6.11333e-84 0.00000e+00 5.69623e-26 9.99999e-01
1.090000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 1.22768e-16 1.35588e-53 2.74528e-78 0.00000e+00 4.67001e-25 9.99999e-01
1.100000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 2.25658e-14 5.72040e-55 1.23281e-72 0.00000e+00 3.48400e-24 9.99999e-01
1.110000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 4.14780e-12 2.00696e-71 5.53612e-67 0.00000e+00 2.37713e-23 9.99999e-01
1.120000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 7.90708e-319 7.62401e-10 3.53534e-72 2.48608e-61 0.00000e+00 1.49037e-22 9.99999e-01
1.130000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 3.87294e-305 1.40136e-07 1.41549e-70 3.78435e-73 0.00000e+00 8.62433e-22 9.99999e-01
1.140000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 8.38484e-308 2.01564e-06 4.98131e-53 1.84860e-63 0.00000e+00 4.62545e-21 9.99999e-01
1.150000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 1.57143e-319 2.89918e-05 4.47990e-36 1.17257e-48 0.00000e+00 2.30824e-20 9.99999e-01
1.160000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 4.17001e-04 7.81837e-32 1.30871e-33 0.00000e+00 1.07573e-19 9.99999e-01
1.170000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 0.00000e+00 0.00000e+00 5.99790e-03 4.19242e-47 3.99699e-34 0.00000e+00 4.69814e-19 9.99999e-01
1.180000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 5.06240e-153 0.00000e+00 8.62703e-02 1.54186e-46 9.96676e-139 0.00000e+00 1.92914e-18 9.99999e-01
1.190000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 7.98881e-55 0.00000e+00 5.27272e-02 5.56277e-59 1.64663e-15 0.00000e+00 7.47049e-18 9.99999e-01
1.200000000e-01 0.00000e+00 9.99999e-01 0.00000e+00 1.19213e-89 0.00000e+00 3.22261e-02 2.92622e-87 4.65760e-09 0.00000e+00 2.73616e-17 9.99999e-01
